4200 NoTRG_HLT_Photon200,CutFlow,
Generated ev,100000
        TRG, 4039
QualityCuts, 3790
       ECut, 3422
     F51Cut, 1986
 dEdXSigCut, 1906
Signal efficiency, 0.01906

,N1Cuts,Relative eff
     No TRG, 19002,0.100305
 No Quality, 2693,0.707761
    No ECut, 2646,0.720333
  No F51Cut, 3298,0.577926
 No dEdXSig, 2558,0.745113

