3800 Photon175,CutFlow,
Generated ev,100000
        TRG, 3750
QualityCuts, 3598
       ECut, 3297
     F51Cut, 1996
 dEdXSigCut, 1950
Signal efficiency, 0.0195

,N1Cuts,Relative eff
     No TRG, 0,inf
 No Quality, 2592,0.752315
    No ECut, 2563,0.760827
  No F51Cut, 3221,0.605402
 No dEdXSig, 2432,0.801809

