3700 HLT_PFMET250_HBHECleaned,CutFlow,
Generated ev,100000
        TRG, 5477
QualityCuts, 5255
       ECut, 5003
     F51Cut, 2920
 dEdXSigCut, 2884
Signal efficiency, 0.02884

,N1Cuts,Relative eff
     No TRG, 0,inf
 No Quality, 4267,0.675885
    No ECut, 4047,0.712627
  No F51Cut, 4944,0.583333
 No dEdXSig, 3992,0.722445

