4200 HLT_PFMET250_HBHECleaned,CutFlow,
Generated ev,100000
        TRG, 3310
QualityCuts, 3124
       ECut, 2898
     F51Cut, 1693
 dEdXSigCut, 1654
Signal efficiency, 0.01654

,N1Cuts,Relative eff
     No TRG, 0,inf
 No Quality, 2425,0.682062
    No ECut, 2316,0.714162
  No F51Cut, 2834,0.583627
 No dEdXSig, 2286,0.723535

